///////////////////////////////////////////////////////////////////////////////////
///                                                                             ///
///                                                                             ///
///              QQQ       UUU  UUU    KKK   KK    EEEEEEE    TTTTTTT           ///
///             Q   Q       u    U      K   K       E    E    T  T  T           ///
///            Q     Q      U    U      K  K        E  E         T              ///
///            Q     Q      U    U      KKK         EEEE         T              ///
///            Q QQQ Q      U    U      K  K        E  E         T              ///
///             Q   Q       U    U      K   K       E    E       T              ///
///              QQQ QQ      UUUU      KKK   KK    EEEEEEE      TTT             ///
///                                                                             ///
///                      Quantum Computing Simulator Ver Beta                   ///
///                                                                             ///
///        Copyright 2019-2020                                                  ///
///        QC Project Team, Ten-no Research Group                               ///
///        All rights Reserved.                                                 ///
///                                                                             ///
///////////////////////////////////////////////////////////////////////////////////
Start at 2021-02-02 17:45:43.028283
+-------------+
|  Job #   1  |
+-------------+
8 processes  x  4 threads  =  Total 32 cores
   10:  E[2-UpCCGSD] = -74.705650442613  <S**2> = 0.000000000000004  CPU Time =  2.49 (0.09 / step)
   11:  E[2-UpCCGSD] = -74.706697307047  <S**2> =-0.000000000000001  CPU Time =  1.29 (0.09 / step)
   12:  E[2-UpCCGSD] = -74.707083469058  <S**2> = 0.000000000000001  CPU Time =  1.29 (0.09 / step)
   13:  E[2-UpCCGSD] = -74.707277226946  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
   14:  E[2-UpCCGSD] = -74.707527710607  <S**2> = 0.000000000000006  CPU Time =  1.30 (0.09 / step)
   15:  E[2-UpCCGSD] = -74.707962629541  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
   16:  E[2-UpCCGSD] = -74.708177212505  <S**2> =-0.000000000000002  CPU Time =  1.29 (0.09 / step)
   17:  E[2-UpCCGSD] = -74.708274336021  <S**2> =-0.000000000000000  CPU Time =  1.29 (0.09 / step)
   18:  E[2-UpCCGSD] = -74.708339158101  <S**2> = 0.000000000000001  CPU Time =  1.29 (0.09 / step)
   19:  E[2-UpCCGSD] = -74.708361863777  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
   20:  E[2-UpCCGSD] = -74.708433103266  <S**2> = 0.000000000000006  CPU Time =  1.29 (0.09 / step)
   21:  E[2-UpCCGSD] = -74.708542376469  <S**2> = 0.000000000000007  CPU Time =  1.30 (0.09 / step)
   22:  E[2-UpCCGSD] = -74.708710761264  <S**2> = 0.000000000000005  CPU Time =  1.29 (0.09 / step)
   23:  E[2-UpCCGSD] = -74.708973003599  <S**2> = 0.000000000000001  CPU Time =  1.29 (0.09 / step)
   24:  E[2-UpCCGSD] = -74.709496872388  <S**2> =-0.000000000000000  CPU Time =  1.30 (0.09 / step)
   25:  E[2-UpCCGSD] = -74.710095722621  <S**2> = 0.000000000000004  CPU Time =  1.29 (0.09 / step)
   26:  E[2-UpCCGSD] = -74.710783324807  <S**2> = 0.000000000000002  CPU Time =  1.29 (0.09 / step)
   27:  E[2-UpCCGSD] = -74.711874461926  <S**2> =-0.000000000000004  CPU Time =  1.29 (0.09 / step)
   28:  E[2-UpCCGSD] = -74.712633800620  <S**2> =-0.000000000000005  CPU Time =  1.29 (0.09 / step)
   29:  E[2-UpCCGSD] = -74.713956685283  <S**2> =-0.000000000000004  CPU Time =  1.29 (0.09 / step)
   30:  E[2-UpCCGSD] = -74.714604332012  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
   31:  E[2-UpCCGSD] = -74.715408384378  <S**2> = 0.000000000000006  CPU Time =  1.29 (0.09 / step)
   32:  E[2-UpCCGSD] = -74.716722520285  <S**2> =-0.000000000000004  CPU Time =  1.29 (0.09 / step)
   33:  E[2-UpCCGSD] = -74.717869399762  <S**2> =-0.000000000000008  CPU Time =  1.29 (0.09 / step)
   34:  E[2-UpCCGSD] = -74.718723421521  <S**2> = 0.000000000000003  CPU Time =  1.29 (0.09 / step)
   35:  E[2-UpCCGSD] = -74.719173621439  <S**2> =-0.000000000000001  CPU Time =  1.29 (0.09 / step)
   36:  E[2-UpCCGSD] = -74.719827280883  <S**2> = 0.000000000000005  CPU Time =  1.29 (0.09 / step)
   37:  E[2-UpCCGSD] = -74.719980660084  <S**2> =-0.000000000000004  CPU Time =  1.29 (0.09 / step)
   38:  E[2-UpCCGSD] = -74.720270361061  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
   39:  E[2-UpCCGSD] = -74.720624749631  <S**2> =-0.000000000000001  CPU Time =  1.29 (0.09 / step)
   40:  E[2-UpCCGSD] = -74.720795765172  <S**2> =-0.000000000000002  CPU Time =  1.29 (0.09 / step)
   41:  E[2-UpCCGSD] = -74.721222264053  <S**2> = 0.000000000000009  CPU Time =  1.30 (0.09 / step)
   42:  E[2-UpCCGSD] = -74.721389252645  <S**2> =-0.000000000000003  CPU Time =  1.29 (0.09 / step)
   43:  E[2-UpCCGSD] = -74.721610812605  <S**2> = 0.000000000000003  CPU Time =  1.29 (0.09 / step)
   44:  E[2-UpCCGSD] = -74.721795420049  <S**2> = 0.000000000000004  CPU Time =  1.29 (0.09 / step)
   45:  E[2-UpCCGSD] = -74.722093714285  <S**2> = 0.000000000000002  CPU Time =  1.29 (0.09 / step)
   46:  E[2-UpCCGSD] = -74.722175932668  <S**2> =-0.000000000000003  CPU Time =  1.29 (0.09 / step)
   47:  E[2-UpCCGSD] = -74.722287920659  <S**2> = 0.000000000000004  CPU Time =  1.29 (0.09 / step)
   48:  E[2-UpCCGSD] = -74.722366071700  <S**2> = 0.000000000000002  CPU Time =  2.52 (0.09 / step)
   49:  E[2-UpCCGSD] = -74.722504183396  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
   50:  E[2-UpCCGSD] = -74.722582591919  <S**2> =-0.000000000000004  CPU Time =  1.29 (0.09 / step)
   51:  E[2-UpCCGSD] = -74.722650426278  <S**2> =-0.000000000000008  CPU Time =  1.29 (0.09 / step)
   52:  E[2-UpCCGSD] = -74.722715523001  <S**2> = 0.000000000000003  CPU Time =  1.31 (0.09 / step)
   53:  E[2-UpCCGSD] = -74.722785456002  <S**2> = 0.000000000000002  CPU Time =  1.29 (0.09 / step)
   54:  E[2-UpCCGSD] = -74.722823814770  <S**2> = 0.000000000000004  CPU Time =  1.29 (0.09 / step)
   55:  E[2-UpCCGSD] = -74.722885688849  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
   56:  E[2-UpCCGSD] = -74.722933231745  <S**2> =-0.000000000000003  CPU Time =  1.29 (0.09 / step)
   57:  E[2-UpCCGSD] = -74.722986115257  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
   58:  E[2-UpCCGSD] = -74.723029833540  <S**2> = 0.000000000000006  CPU Time =  1.30 (0.09 / step)
   59:  E[2-UpCCGSD] = -74.723088062503  <S**2> = 0.000000000000000  CPU Time =  1.29 (0.09 / step)
   60:  E[2-UpCCGSD] = -74.723143419375  <S**2> = 0.000000000000001  CPU Time =  1.29 (0.09 / step)
   61:  E[2-UpCCGSD] = -74.723204556032  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
   62:  E[2-UpCCGSD] = -74.723306568538  <S**2> =-0.000000000000005  CPU Time =  1.29 (0.09 / step)
   63:  E[2-UpCCGSD] = -74.723342782495  <S**2> =-0.000000000000004  CPU Time =  2.49 (0.09 / step)
   64:  E[2-UpCCGSD] = -74.723415598870  <S**2> = 0.000000000000003  CPU Time =  1.29 (0.09 / step)
   65:  E[2-UpCCGSD] = -74.723455715390  <S**2> =-0.000000000000008  CPU Time =  1.29 (0.09 / step)
   66:  E[2-UpCCGSD] = -74.723484903454  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
   67:  E[2-UpCCGSD] = -74.723518481281  <S**2> = 0.000000000000004  CPU Time =  1.29 (0.09 / step)
   68:  E[2-UpCCGSD] = -74.723561310959  <S**2> = 0.000000000000004  CPU Time =  1.29 (0.09 / step)
   69:  E[2-UpCCGSD] = -74.723601034059  <S**2> = 0.000000000000002  CPU Time =  1.29 (0.09 / step)
   70:  E[2-UpCCGSD] = -74.723628588268  <S**2> =-0.000000000000000  CPU Time =  1.29 (0.09 / step)
   71:  E[2-UpCCGSD] = -74.723643686166  <S**2> = 0.000000000000001  CPU Time =  1.29 (0.09 / step)
   72:  E[2-UpCCGSD] = -74.723652747543  <S**2> =-0.000000000000002  CPU Time =  1.29 (0.09 / step)
   73:  E[2-UpCCGSD] = -74.723675267023  <S**2> =-0.000000000000001  CPU Time =  1.29 (0.09 / step)
   74:  E[2-UpCCGSD] = -74.723693824522  <S**2> = 0.000000000000003  CPU Time =  1.29 (0.09 / step)
   75:  E[2-UpCCGSD] = -74.723719498709  <S**2> = 0.000000000000003  CPU Time =  1.29 (0.09 / step)
   76:  E[2-UpCCGSD] = -74.723746326806  <S**2> =-0.000000000000004  CPU Time =  1.29 (0.09 / step)
   77:  E[2-UpCCGSD] = -74.723795554950  <S**2> = 0.000000000000002  CPU Time =  1.29 (0.09 / step)
   78:  E[2-UpCCGSD] = -74.723850967666  <S**2> =-0.000000000000002  CPU Time =  1.29 (0.09 / step)
   79:  E[2-UpCCGSD] = -74.723920529329  <S**2> =-0.000000000000002  CPU Time =  1.29 (0.09 / step)
   80:  E[2-UpCCGSD] = -74.724012568377  <S**2> = 0.000000000000005  CPU Time =  1.30 (0.09 / step)
   81:  E[2-UpCCGSD] = -74.724086518810  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
   82:  E[2-UpCCGSD] = -74.724164419780  <S**2> = 0.000000000000005  CPU Time =  1.30 (0.09 / step)
   83:  E[2-UpCCGSD] = -74.724216382125  <S**2> =-0.000000000000006  CPU Time =  1.30 (0.09 / step)
   84:  E[2-UpCCGSD] = -74.724275609033  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
   85:  E[2-UpCCGSD] = -74.724341470198  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
   86:  E[2-UpCCGSD] = -74.724431991321  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
   87:  E[2-UpCCGSD] = -74.724529041829  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
   88:  E[2-UpCCGSD] = -74.724630235755  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
   89:  E[2-UpCCGSD] = -74.724777262353  <S**2> =-0.000000000000005  CPU Time =  1.30 (0.09 / step)
   90:  E[2-UpCCGSD] = -74.724957132599  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
   91:  E[2-UpCCGSD] = -74.725177301230  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
   92:  E[2-UpCCGSD] = -74.725340063063  <S**2> = 0.000000000000005  CPU Time =  1.30 (0.09 / step)
   93:  E[2-UpCCGSD] = -74.725511542790  <S**2> = 0.000000000000000  CPU Time =  1.31 (0.09 / step)
   94:  E[2-UpCCGSD] = -74.725608659033  <S**2> = 0.000000000000005  CPU Time =  2.50 (0.09 / step)
   95:  E[2-UpCCGSD] = -74.725751011959  <S**2> =-0.000000000000003  CPU Time =  1.31 (0.09 / step)
   96:  E[2-UpCCGSD] = -74.725891209431  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
   97:  E[2-UpCCGSD] = -74.726073644368  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
   98:  E[2-UpCCGSD] = -74.726163703253  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
   99:  E[2-UpCCGSD] = -74.726228746222  <S**2> =-0.000000000000003  CPU Time =  1.31 (0.09 / step)
  100:  E[2-UpCCGSD] = -74.726405540263  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  101:  E[2-UpCCGSD] = -74.726558180571  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  102:  E[2-UpCCGSD] = -74.726696752364  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  103:  E[2-UpCCGSD] = -74.726747824320  <S**2> = 0.000000000000007  CPU Time =  1.30 (0.09 / step)
  104:  E[2-UpCCGSD] = -74.726817281386  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  105:  E[2-UpCCGSD] = -74.726884532175  <S**2> =-0.000000000000008  CPU Time =  1.30 (0.09 / step)
  106:  E[2-UpCCGSD] = -74.726945844489  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  107:  E[2-UpCCGSD] = -74.727049833572  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  108:  E[2-UpCCGSD] = -74.727109748366  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  109:  E[2-UpCCGSD] = -74.727169726435  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  110:  E[2-UpCCGSD] = -74.727236050044  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  111:  E[2-UpCCGSD] = -74.727282965574  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  112:  E[2-UpCCGSD] = -74.727326665513  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  113:  E[2-UpCCGSD] = -74.727399863205  <S**2> =-0.000000000000002  CPU Time =  1.31 (0.09 / step)
  114:  E[2-UpCCGSD] = -74.727437961621  <S**2> =-0.000000000000002  CPU Time =  2.50 (0.09 / step)
  115:  E[2-UpCCGSD] = -74.727474695289  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  116:  E[2-UpCCGSD] = -74.727498956289  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  117:  E[2-UpCCGSD] = -74.727516712430  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  118:  E[2-UpCCGSD] = -74.727533521473  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  119:  E[2-UpCCGSD] = -74.727571699163  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  120:  E[2-UpCCGSD] = -74.727591006919  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  121:  E[2-UpCCGSD] = -74.727617349503  <S**2> =-0.000000000000002  CPU Time =  1.31 (0.09 / step)
  122:  E[2-UpCCGSD] = -74.727631394246  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  123:  E[2-UpCCGSD] = -74.727644951608  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  124:  E[2-UpCCGSD] = -74.727680565782  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  125:  E[2-UpCCGSD] = -74.727740515628  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  126:  E[2-UpCCGSD] = -74.727804583601  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  127:  E[2-UpCCGSD] = -74.727886680049  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  128:  E[2-UpCCGSD] = -74.727959836420  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  129:  E[2-UpCCGSD] = -74.727991035104  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  130:  E[2-UpCCGSD] = -74.728090357946  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  131:  E[2-UpCCGSD] = -74.728120816812  <S**2> =-0.000000000000001  CPU Time =  1.31 (0.09 / step)
  132:  E[2-UpCCGSD] = -74.728157940965  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  133:  E[2-UpCCGSD] = -74.728197565641  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  134:  E[2-UpCCGSD] = -74.728229116949  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  135:  E[2-UpCCGSD] = -74.728277570834  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  136:  E[2-UpCCGSD] = -74.728301763273  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  137:  E[2-UpCCGSD] = -74.728335771369  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  138:  E[2-UpCCGSD] = -74.728390359387  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  139:  E[2-UpCCGSD] = -74.728419820672  <S**2> =-0.000000000000002  CPU Time =  2.51 (0.09 / step)
  140:  E[2-UpCCGSD] = -74.728467066939  <S**2> =-0.000000000000005  CPU Time =  1.30 (0.09 / step)
  141:  E[2-UpCCGSD] = -74.728512590238  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  142:  E[2-UpCCGSD] = -74.728546697059  <S**2> =-0.000000000000000  CPU Time =  1.31 (0.09 / step)
  143:  E[2-UpCCGSD] = -74.728569845261  <S**2> = 0.000000000000007  CPU Time =  2.50 (0.09 / step)
  144:  E[2-UpCCGSD] = -74.728610669339  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  145:  E[2-UpCCGSD] = -74.728629428611  <S**2> =-0.000000000000000  CPU Time =  1.30 (0.09 / step)
  146:  E[2-UpCCGSD] = -74.728639992945  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  147:  E[2-UpCCGSD] = -74.728651627098  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  148:  E[2-UpCCGSD] = -74.728666903255  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  149:  E[2-UpCCGSD] = -74.728690156491  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  150:  E[2-UpCCGSD] = -74.728749724786  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  151:  E[2-UpCCGSD] = -74.728793218313  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  152:  E[2-UpCCGSD] = -74.728836173068  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  153:  E[2-UpCCGSD] = -74.728871696625  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  154:  E[2-UpCCGSD] = -74.728890892580  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  155:  E[2-UpCCGSD] = -74.728917452893  <S**2> =-0.000000000000003  CPU Time =  1.29 (0.09 / step)
  156:  E[2-UpCCGSD] = -74.728920252706  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  157:  E[2-UpCCGSD] = -74.728935210581  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  158:  E[2-UpCCGSD] = -74.728938629235  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  159:  E[2-UpCCGSD] = -74.728946445921  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  160:  E[2-UpCCGSD] = -74.728955823101  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  161:  E[2-UpCCGSD] = -74.728964535770  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  162:  E[2-UpCCGSD] = -74.728974097584  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  163:  E[2-UpCCGSD] = -74.728977864860  <S**2> = 0.000000000000006  CPU Time =  1.29 (0.09 / step)
  164:  E[2-UpCCGSD] = -74.728979020538  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  165:  E[2-UpCCGSD] = -74.728981891998  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  166:  E[2-UpCCGSD] = -74.728985905874  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  167:  E[2-UpCCGSD] = -74.728990252079  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  168:  E[2-UpCCGSD] = -74.728997754262  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  169:  E[2-UpCCGSD] = -74.729003338951  <S**2> = 0.000000000000001  CPU Time =  1.31 (0.09 / step)
  170:  E[2-UpCCGSD] = -74.729006935848  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  171:  E[2-UpCCGSD] = -74.729008781985  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  172:  E[2-UpCCGSD] = -74.729015833742  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  173:  E[2-UpCCGSD] = -74.729021725772  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  174:  E[2-UpCCGSD] = -74.729029376132  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  175:  E[2-UpCCGSD] = -74.729037181377  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  176:  E[2-UpCCGSD] = -74.729041630015  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  177:  E[2-UpCCGSD] = -74.729045189044  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  178:  E[2-UpCCGSD] = -74.729049458963  <S**2> = 0.000000000000005  CPU Time =  1.30 (0.09 / step)
  179:  E[2-UpCCGSD] = -74.729055555293  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  180:  E[2-UpCCGSD] = -74.729063964437  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  181:  E[2-UpCCGSD] = -74.729068804576  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  182:  E[2-UpCCGSD] = -74.729072917325  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  183:  E[2-UpCCGSD] = -74.729077169095  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  184:  E[2-UpCCGSD] = -74.729082670513  <S**2> =-0.000000000000007  CPU Time =  1.30 (0.09 / step)
  185:  E[2-UpCCGSD] = -74.729085118526  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  186:  E[2-UpCCGSD] = -74.729091710511  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  187:  E[2-UpCCGSD] = -74.729099647722  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  188:  E[2-UpCCGSD] = -74.729104640438  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  189:  E[2-UpCCGSD] = -74.729112172836  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  190:  E[2-UpCCGSD] = -74.729115973749  <S**2> =-0.000000000000002  CPU Time =  1.29 (0.09 / step)
  191:  E[2-UpCCGSD] = -74.729119910209  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  192:  E[2-UpCCGSD] = -74.729121237559  <S**2> =-0.000000000000002  CPU Time =  2.50 (0.09 / step)
  193:  E[2-UpCCGSD] = -74.729123148938  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  194:  E[2-UpCCGSD] = -74.729124488007  <S**2> = 0.000000000000005  CPU Time =  1.30 (0.09 / step)
  195:  E[2-UpCCGSD] = -74.729125679662  <S**2> = 0.000000000000001  CPU Time =  1.32 (0.09 / step)
  196:  E[2-UpCCGSD] = -74.729126349709  <S**2> =-0.000000000000001  CPU Time =  1.31 (0.09 / step)
  197:  E[2-UpCCGSD] = -74.729128406749  <S**2> =-0.000000000000003  CPU Time =  1.29 (0.09 / step)
  198:  E[2-UpCCGSD] = -74.729129853960  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  199:  E[2-UpCCGSD] = -74.729131577661  <S**2> = 0.000000000000000  CPU Time =  1.31 (0.09 / step)
  200:  E[2-UpCCGSD] = -74.729135580869  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  201:  E[2-UpCCGSD] = -74.729142990886  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  202:  E[2-UpCCGSD] = -74.729146312818  <S**2> =-0.000000000000008  CPU Time =  1.30 (0.09 / step)
  203:  E[2-UpCCGSD] = -74.729156592850  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.10 / step)
  204:  E[2-UpCCGSD] = -74.729161735086  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  205:  E[2-UpCCGSD] = -74.729165369901  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  206:  E[2-UpCCGSD] = -74.729169357585  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  207:  E[2-UpCCGSD] = -74.729172367680  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  208:  E[2-UpCCGSD] = -74.729175159354  <S**2> = 0.000000000000003  CPU Time =  1.29 (0.09 / step)
  209:  E[2-UpCCGSD] = -74.729177198587  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  210:  E[2-UpCCGSD] = -74.729179692525  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  211:  E[2-UpCCGSD] = -74.729183135360  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  212:  E[2-UpCCGSD] = -74.729185085083  <S**2> = 0.000000000000003  CPU Time =  2.50 (0.09 / step)
  213:  E[2-UpCCGSD] = -74.729186596951  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  214:  E[2-UpCCGSD] = -74.729189232079  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
